round bids     cpc                  cpm                  ctr                  revenue  imps     clks     auc                  rmse                 roi                  cost    
1     614638   64.05585620915033    52.26665173416956    0.0008159543065588327 6714908  375021   306      0.6144837292564127   0.02893960594333455  0.3425782604356941   19601092
2     614638   51.44475235109718    48.13420543204083    0.0009356485012025576 11023124 340940   319      0.6949182217679457   0.028923099859821857 0.6716962580181582   16410876
3     614638   44.71521468926554    46.88670487700123    0.0010485626693917448 14614814 337605   354      0.7691139052518006   0.028910262118789366 0.9232827259721378   15829186
4     614638   40.04275063613232    46.34727764835469    0.0011574449035609837 18061199 339541   393      0.8311451902467468   0.02889569941738982  1.1477046065461463   15736801
5     614638   36.728500000000004   46.10146361683247    0.001255195927327075 21186745 342576   430      0.8801575754036433   0.02887848873034662  1.3415059150251167   15793255
6     614638   34.94929450549451    46.06224020716804    0.0013179733914207173 23228071 345227   455      0.9165761107689931   0.028857958730203755 1.460707754386276    15901929
7     614638   33.77937209302326    46.06990799076159    0.0013638473759634154 24700357 346813   473      0.9416432247870904   0.02883338089001147  1.5459324632550622   15977643
8     614638   33.46266317991632    46.05917229622719    0.0013764347460506689 25112847 347274   478      0.9576379618712414   0.02880393557997093  1.5700285580262971   15995153
9     614638   32.78372484599589    46.028229840255776   0.0014039963444201957 25916326 346867   487      0.9670454065612137   0.02876870195342088  1.6232528611068973   15965674
10    614638   32.06903024193549    45.991062728600134   0.0014341270185482355 26749761 345855   496      0.9725210244954408   0.02872665134473919  1.6817150176103854   15906239
