round bids     cpc                  cpm                  ctr                     revenue  imps     clks     auc                  rmse                 roi                  cost    
1     250550   279.2067313432836    89.21619133918352    0.0003195345288057993   723149   209680   67       0.5672179308810179   0.018217760948410003 0.03865690703368514  18706851
1     206295   314.32806122448983   78.06186836690217    0.0002483452099784092   -1143075 197306   49       0.4999038499011877   0.016122161438465017 -0.07421564951475694 15402075
2     250550   295.50236363636367   74.98286630411589    0.0002537470948841125   -242104  173401   44       0.571098874050262    0.0182025700098488   -0.01862037097995832 13002104
2     206295   280.2190217391304    70.23415790334005    0.0002506402223069798   495925   183530   46       0.4993822058827027   0.01605603852492437  0.03847339910745283  12890075
3     250550   270.1705263157895    66.69187145557656    0.0002468510254061674   753520   153939   38       0.5746295317936456   0.018200030587446955 0.07339613967007193  10266480
3     206295   251.68897727272727   63.97787932707862    0.0002541942043721403   1729685  173096   44       0.4989814127495946   0.01604262446342628  0.15618889294732902  11074315
4     250550   249.01538888888888   62.30750090355584    0.0002502154633156329   1475446  143876   36       0.5779605143375308   0.018199205898319783 0.1645866598606021   8964554 
4     206295   239.76433333333335   60.354584085011      0.00025172461327307923  2151898  166849   42       0.49853048616819984  0.0160376205255863   0.2136917778985754   10070102
5     250550   237.10302857142858   59.93634124674087    0.00025278606354319394  1851394  138457   35       0.5811413676842021   0.01819883927242844  0.22309698761454635  8298606 
5     206295   247.22971052631578   57.772831534606276   0.00023368077975586507  1663271  162615   38       0.49803363442067416  0.0160351790109572   0.1770429993244084   9394729 
6     250550   233.71432352941179   58.62990563183874    0.0002508614138254152   1913713  135533   34       0.5842296710227224   0.01819864076168134  0.24083109507622869  7946287 
6     206295   254.36885714285714   55.78264411027569    0.0002192982456140351   1282090  159600   35       0.497627352223885    0.016033786956422342 0.14400797042764668  8902910 
7     250550   228.83370588235294   57.99606419535903    0.0002534419655169843   2079654  134153   34       0.5870619225455523   0.018198517226553922 0.2672958246329919   7780346 
7     206295   244.4277142857143    54.32899800591874    0.00022227020436157646  1630030  157466   35       0.4972280228410918   0.01603290550657626  0.1905360275956549   8554970 
8     250550   227.10182352941177   57.781966759210064   0.00025443198060330315  2138538  133631   34       0.5897558300853043   0.018198431949558766 0.27696024405740777  7721462 
8     206295   238.1137142857143    53.37060447125575    0.00022413914558157703  1851020  156153   35       0.4969420426233113   0.01603230224249447  0.222105164639224    8333980 
9     250550   226.87311764705882   57.74624753890956    0.00025453102658351984  2146314  133579   34       0.5922498700138984   0.018198368195323087 0.27824752005720743  7713686 
9     206295   233.7015142857143    52.68938618019724    0.00022545590404596724  2005447  155241   35       0.49671003819839415  0.01603186334308414  0.24517806779905943  8179553 
10    250550   227.70567647058823   57.84686481962999    0.0002540422606772468   2118007  133836   34       0.5946453951729014   0.01819831745049665  0.27357387174077785  7741993 
10    206295   230.44225714285716   52.16188301945364    0.00022635554635761588  2119521  154624   35       0.49661132653653073  0.016031527870342246 0.2627892280173316   8065479 
11    250550   229.1203235294118    58.019401640015786   0.0002532267794767143   2069909  134267   34       0.5969521223511108   0.018198275005432984 0.265710503253428    7790091 
11    206295   227.52291428571428   51.68558855599979    0.00022716651954930164  2221698  154072   35       0.49663511247914843  0.016031260994045383 0.2789920563103095   7963302 
12    250550   230.73847058823532   58.236148227329416   0.00025239028445869706  2014892  134712   34       0.599031515153789    0.01819823808747551  0.25683419527175405  7845108 
12    206295   225.21374285714285   51.29385773688286    0.00022775633976040034  2302519  153673   35       0.4967179058563369   0.01603104177646838  0.29210587377248354  7882481 
13    250550   225.65948571428572   58.439810875404184   0.00025897342932615114  2251918  135149   35       0.6009464440906315   0.01819820499043887  0.28512213471574493  7898082 
13    206295   216.97547222222224   50.94151367919914    0.0002347800567385137   2664883  153335   36       0.4968299742398241   0.016030857098458657 0.3411654184670387   7811117 
14    250550   221.1                58.6796417118213     0.0002653986508901913   2480400  135645   36       0.6026769945548944   0.018198174631856964 0.3116236996834012   7959600 
14    206295   215.06786111111114   50.605194873102086   0.00023529873134767347  2733557  152997   36       0.49697982567831567  0.016030698433316375 0.3530613011939513   7742443 
15    250550   222.63327777777778   58.88557616010815    0.00026449584153760247  2425202  136108   36       0.6042404835959199   0.01819814631023301  0.3025905331612849   8014798 
15    206295   219.46742857142857   50.307884757706944   0.00022922711167289945  2503640  152687   35       0.4971412956349318   0.016030560044788426 0.325937073643209    7681360 
16    250550   224.33769444444445   59.12656763622786    0.00026356055669846476  2363843  136591   36       0.6057517809743448   0.018198119563570495 0.2926940375230447   8076157 
16    206295   217.728              50.014635907196535   0.00022971154792767368  2564520  152365   35       0.49729004926068715  0.016030437941121373 0.3365299823633157   7620480 
17    250550   225.76636111111114   59.32936470279069    0.000262790986269171    2312411  136991   36       0.6071238685172243   0.01819809408310198  0.28451377155021     8127589 
17    206295   216.2380285714286    49.76055097143233    0.00023011933331141721  2616669  152095   35       0.497449049138647    0.016030329249675016 0.3457392389418486   7568331 
18    250550   226.98302777777778   59.50141628619904    0.0002621403761714398   2268611  137331   36       0.6084177407205749   0.018198069659050756 0.27762856473972786  8171389 
18    206295   214.89882857142857   49.52890161991308    0.000230475437903332    2663541  151860   35       0.4976368666009321   0.016030231834014686 0.35412557590222854  7521459 
19    250550   228.30236111111114   59.6972965513234     0.00026148348295999303  2221115  137676   36       0.6095842845083457   0.018198046145905703 0.27024529483013815  8218885 
19    206295   207.70344444444444   49.306130523372744   0.0002373871586735333   2998676  151651   36       0.49788780829554874  0.016030144054694783 0.4010359856012659   7477324 
20    250550   223.2856756756757    59.88597731144214    0.0002682033996593092   2468430  137955   37       0.6107011379850873   0.01819802343998745  0.29878461357829084  8261570 
20    206295   212.42448571428574   49.095055402210804   0.0002311176851252658   2750143  151438   35       0.4982319725883478   0.0160300646170215   0.3698985737049146   7434857 
