round bids     cpc                  cpm                  ctr                     revenue  imps     clks     auc                  rmse                 roi                  cost    
1     343862   297.5729166666667    83.29834260587612    0.0002799258196577907   -55000   342948   96       0.5155229065168441   0.017185482131438837 -0.0019252984212552945 28567000
2     343862   286.7030842105263    80.85781420700138    0.0002820263145394956   978207   336848   95       0.5162435498597174   0.01690405230749403  0.035914911127752816 27236793
3     343862   281.15035164835166   77.83383479004226    0.0002768406097794706   1442318  328709   91       0.5170465738627188   0.0168471731516592   0.05637427895332058  25584682
4     343862   268.05886516853934   74.53197810643124    0.0002780433247733478   2575761  320094   89       0.5178423704397679   0.01682622071280549  0.10796559484523754  23857239
5     343862   266.4665952380953    71.61292944029589    0.0002687501199777321   2564806  312558   84       0.518673104573806    0.016816153811220584 0.11458623822855665  22383194
6     343862   261.11272839506177   69.13163038504283    0.00026475779564620513  2906869  305940   81       0.519499670192461    0.016810522487661593 0.13743976337546088  21150131
7     343862   252.35786249999998   67.14949177121723    0.0002660883679469952   3571371  300652   80       0.5203321137176995   0.016807045587497054 0.1769001253131156   20188629
8     343862   251.13466233766235   65.36251385846786    0.00026026878667423814  3531631  295848   77       0.5211729242630238   0.016804745385455983 0.18263244601682888  19337369
9     343862   245.48609210526314   63.91377762856791    0.00026035600257615413  3915057  291908   76       0.5220348772784572   0.016803144358624813 0.20984450668043528  18656943
10    343862   238.5397894736842    62.7818895838095     0.0002631925253322806   4442976  288762   76       0.5229029481150288   0.016801986010998752 0.2450753002478236   18129024
11    343862   238.6932027027027    61.756540740870236   0.00025872768910721464  4314703  286015   74       0.5237629218353883   0.016801122188133243 0.24427506370979324  17663297
12    343862   233.52544594594596   60.90479530267573    0.00026080581949417767  4697117  283736   74       0.5246366906426276   0.016800462255949868 0.27181001109723385  17280883
13    343862   232.20756164383562   60.15441066878642    0.0002590544866107866   4729848  281794   73       0.5255220053377989   0.016799948122245535 0.27902811561125757  16951152
14    343862   228.27320547945206   59.49453750910415    0.0002606286505862359   5017056  280092   73       0.526398023343986    0.016799541085575454 0.3010725432106589   16663944
15    343862   225.22902739726027   58.97570555404106    0.0002618477122401251   5239281  278788   73       0.5272827382527713   0.01679921450954636  0.318657738889711    16441719
16    343862   225.71384722222223   58.52584098905571    0.0002592922043078519   5132603  277679   72       0.5281728512390312   0.016798949545134237 0.31582534104606513  16251397
17    343862   223.57150000000001   58.15632733723279    0.0002601240647275381   5286852  276791   72       0.5290570863187076   0.01679873253076544  0.32843408037249827  16097148
18    343862   221.66701388888887   57.81800760037531    0.0002608327084216361   5423975  276039   72       0.5299112121218028   0.016798553356658304 0.3398475253014955   15960025
19    343862   220.15847222222223   57.548158259695185   0.0002613942478743565   5532590  275446   72       0.5307851908542773   0.016798404404379165 0.349028256792298    15851410
20    343862   221.92439436619716   57.31059817992682    0.0002582437966930245   5330368  274934   71       0.5316394965932882   0.016798279840856523 0.3382936150314357   15756632
